Memory		Disk		CPU
27.21%		40%		1.76%		
27.23%		40%		1.70%		
27.18%		40%		1.70%		
27.19%		40%		1.56%		
26.97%		40%		1.56%		
27.14%		40%		1.68%		
27.16%		40%		1.68%		
26.95%		40%		1.54%		
27.16%		40%		1.54%		
27.14%		40%		1.42%		
27.16%		40%		1.42%		
27.10%		40%		1.42%		
27.15%		40%		1.71%		
27.20%		40%		1.71%		
27.70%		40%		1.81%		
28.64%		40%		1.81%		
28.38%		40%		1.75%		
28.36%		40%		1.75%		
28.43%		40%		1.61%		
28.17%		40%		1.61%		
28.16%		40%		1.61%		
28.09%		40%		1.48%		
27.98%		40%		1.48%		
27.97%		40%		1.36%		
27.96%		40%		1.36%		
27.75%		40%		1.49%		
27.74%		40%		1.49%		
Memory		Disk		CPU
27.13%		40%		1.45%		
27.34%		40%		1.41%		
27.33%		40%		1.41%		
27.27%		40%		1.30%		
27.30%		40%		1.30%		
27.31%		40%		1.20%		
27.25%		40%		1.20%		
27.39%		40%		1.18%		
27.49%		40%		1.18%		
27.36%		40%		1.17%		
27.40%		40%		1.17%		
27.23%		40%		1.17%		
27.40%		40%		1.31%		
28.15%		40%		1.31%		
27.99%		40%		1.21%		
28.00%		40%		1.21%		
28.01%		40%		1.27%		
27.87%		40%		1.27%		
27.83%		40%		1.17%		
27.74%		40%		1.17%		
27.94%		40%		1.17%		
27.89%		40%		1.16%		
27.91%		40%		1.16%		
28.58%		40%		2.02%		
28.71%		40%		2.02%		
28.68%		40%		2.10%		
28.49%		40%		2.10%		
